Target Returns,Backtest Period: 1,Backtest Period: 2,Backtest Period: 3,Backtest Period: 4,Backtest Period: 5,Backtest Period: 6,Backtest Period: 7,Backtest Period: 8,Backtest Period: 9,Backtest Period: 10,Backtest Period: 11,Backtest Period: 12,Backtest Period: 13,Backtest Period: 14,Backtest Period: 15,Backtest Period: 16,Backtest Period: 17,Backtest Period: 18,Backtest Period: 19,Backtest Period: 20,Backtest Period: 21,Backtest Period: 22,Backtest Period: 23,Backtest Period: 24,Backtest Period: 25,Backtest Period: 26,Backtest Period: 27,Backtest Period: 28,Backtest Period: 29,Backtest Period: 30,Backtest Period: 31,Backtest Period: 32,Backtest Period: 33,Backtest Period: 34,Backtest Period: 35,Backtest Period: 36,Backtest Period: 37,Backtest Period: 38,Backtest Period: 39,Backtest Period: 40,Backtest Period: 41,Backtest Period: 42,Backtest Period: 43,Backtest Period: 44,Backtest Period: 45,Backtest Period: 46,Backtest Period: 47,Backtest Period: 48,Backtest Period: 49,Backtest Period: 50
0.005,7.84495e-05,6.86256e-05,6.6799e-05,5.90731e-05,8.36475e-05,7.40955e-05,8.66403e-05,8.36017e-05,7.63405e-05,7.56866e-05,8.44079e-05,9.03113e-05,9.37993e-05,9.47205e-05,0.000113163,0.000119949,8.72674e-05,9.22802e-05,0.000129148,0.000122505,0.000160515,0.000174824,0.000206133,0.000207868,0.000184556,0.000157879,0.000135539,0.000144169,0.000105116,0.000111522,9.58777e-05,9.1936e-05,0.000135264,0.000126607,0.000160985,0.000127158,0.000108921,0.000107883,0.00012666,0.00013385,0.000129805,0.000112042,0.000111443,0.000104532,0.000109306,0.000105439,0.000128933,0.000135935,0.000139148,0.000118105
0.01,0.000100354,0.000122349,0.000106508,0.000101554,0.00011837,9.10951e-05,0.000113389,9.91631e-05,0.000137793,0.000140764,0.000168438,0.0001605,0.000143472,0.000143515,0.000179518,0.000182436,0.000151571,0.000174291,0.000216756,0.000247083,0.000235907,0.000304215,0.000288373,0.000257431,0.000250876,0.000229775,0.000242624,0.000183591,0.000157285,0.000175558,0.000143726,0.000173818,0.000214252,0.000188495,0.000238934,0.000170014,0.000167405,0.000199034,0.00017217,0.000165855,0.000176053,0.000215124,0.000205332,0.000129336,0.000148298,0.000143746,0.000208628,0.000255469,0.00021761,0.000153215
0.015,0.000205274,0.00015992,0.000200438,0.000154761,0.000200475,0.00015185,0.000178879,0.000194206,0.000192922,0.000272625,0.000235317,0.000204831,0.000176213,0.000233801,0.000224273,0.000240421,0.000198783,0.000253837,0.000342483,0.000369304,0.000360467,0.000414365,0.000395975,0.000397169,0.000302517,0.00035296,0.000368125,0.000281904,0.000227382,0.000254663,0.000272102,0.00023808,0.00040288,0.000343935,0.000353027,0.000229143,0.000312325,0.000291931,0.000290817,0.000275444,0.000320041,0.000243023,0.000231295,0.000231108,0.000265459,0.000249189,0.000270991,0.000375439,0.000409509,0.000286033
0.02,0.000307859,0.000251158,0.000323261,0.000217192,0.000274455,0.000299129,0.000326787,0.000343947,0.00033835,0.000356951,0.000409711,0.000350187,0.000283293,0.000270607,0.000345172,0.000380026,0.000259947,0.000276537,0.000486449,0.000536002,0.000516235,0.000648314,0.000559596,0.000473918,0.000395827,0.000452504,0.000521646,0.000412922,0.000307493,0.000407057,0.000376682,0.000398336,0.000456174,0.000477609,0.000497229,0.00037092,0.000432079,0.000402683,0.000387637,0.000346947,0.000434875,0.000391086,0.000372093,0.000375276,0.00043033,0.000331751,0.000422681,0.00053456,0.000572,0.000375211
0.025,0.000429637,0.000355012,0.000449044,0.000362437,0.000448169,0.000353336,0.000432149,0.000445951,0.000537583,0.000468503,0.000512073,0.000412564,0.000425199,0.000393079,0.00041146,0.000464312,0.000392311,0.000423056,0.000635063,0.000618792,0.000644808,0.00090412,0.000683062,0.000695157,0.000493156,0.000652498,0.000710729,0.000481554,0.00045284,0.000466149,0.000523383,0.000501376,0.000688566,0.00064818,0.000729948,0.000461805,0.000564896,0.000598061,0.000548741,0.00045768,0.000541181,0.000472955,0.000455215,0.000434513,0.000518298,0.000487705,0.000418864,0.000651167,0.000702686,0.000579131
0.03,0.000559433,0.000414709,0.000537696,0.000465978,0.000596636,0.000540205,0.000583578,0.000574675,0.000651491,0.000617174,0.000651947,0.000519102,0.000462943,0.000427733,0.000447248,0.000556985,0.000477767,0.000605161,0.000809641,0.000868726,0.000769277,0.00119696,0.00093425,0.000719721,0.000677304,0.000856747,0.000900592,0.000585575,0.000560204,0.000547811,0.000660589,0.000580846,0.00086973,0.000795095,0.000900317,0.000568904,0.000699315,0.000747695,0.000631028,0.000634674,0.000575453,0.000659332,0.000546102,0.000608055,0.000639432,0.000591638,0.000577944,0.000926445,0.000999237,0.000833053
0.035,0.000777271,0.000579486,0.000758436,0.000661086,0.000836832,0.000769464,0.000752694,0.000731873,0.0007256,0.000757538,0.000800238,0.000717828,0.000535988,0.000565181,0.000595396,0.00065837,0.000644014,0.000752878,0.00108172,0.00110117,0.000978172,0.00154846,0.00104916,0.00095721,0.000850993,0.00117443,0.00117751,0.000789134,0.00063362,0.000732732,0.000814755,0.000789981,0.000995993,0.000971799,0.00119347,0.000607056,0.000862602,0.00091296,0.000838507,0.000744459,0.000772043,0.000731118,0.000727287,0.000607203,0.000850354,0.000786552,0.00057586,0.000958293,0.000972397,0.000991158
0.04,0.00103321,0.000718718,0.000914019,0.000734776,0.0011191,0.000956889,0.000935703,0.000972288,0.000969278,0.000938761,0.00105545,0.00087308,0.00062005,0.000608746,0.000766403,0.000850052,0.000741769,0.00098578,0.0011703,0.00142137,0.0011947,0.00199087,0.00130485,0.00123297,0.00100728,0.00133925,0.0014663,0.000891036,0.000816416,0.000781736,0.000966499,0.000941305,0.00129491,0.00116166,0.00120246,0.000787057,0.00112082,0.00117711,0.000958639,0.000863455,0.000998634,0.00078931,0.000798291,0.000672833,0.00109302,0.000772221,0.000738296,0.00112807,0.00127126,0.00130417
0.045,0.00114083,0.00086058,0.00118366,0.000955768,0.00132212,0.00114442,0.00121145,0.00117776,0.00105535,0.00120634,0.00125924,0.00111671,0.000785268,0.000758271,0.000847036,0.000969788,0.000937114,0.00116051,0.00146812,0.0015841,0.00143573,0.00243925,0.00161745,0.0014952,0.00122297,0.00157305,0.00177999,0.00112194,0.000895427,0.000984836,0.00122461,0.00119518,0.00153593,0.00137364,0.00149853,0.000991294,0.00129701,0.00125971,0.00119757,0.00107747,0.00125522,0.000995798,0.000892055,0.000840568,0.0011514,0.000965071,0.000922586,0.00143071,0.00161153,0.0015452
0.05,0.00142294,0.00107953,0.00139518,0.00112782,0.00146569,0.00124832,0.00142135,0.00137906,0.00132235,0.00150821,0.00156517,0.00139124,0.000971023,0.000925152,0.00094873,0.00119289,0.00106426,0.00143807,0.00179229,0.00193478,0.00174376,0.00289995,0.00192585,0.00179428,0.00149301,0.00191557,0.00215561,0.00138198,0.00103063,0.00112978,0.0014128,0.00148025,0.00156989,0.00143201,0.0017007,0.00121975,0.00137325,0.0015441,0.00122138,0.00119518,0.00116805,0.0012249,0.00109222,0.00102778,0.00140865,0.00102241,0.00112874,0.00156486,0.00199326,0.00181571
