Target Returns,Backtest Period: 1,Backtest Period: 2,Backtest Period: 3,Backtest Period: 4,Backtest Period: 5,Backtest Period: 6,Backtest Period: 7,Backtest Period: 8,Backtest Period: 9,Backtest Period: 10,Backtest Period: 11,Backtest Period: 12,Backtest Period: 13,Backtest Period: 14,Backtest Period: 15,Backtest Period: 16,Backtest Period: 17,Backtest Period: 18,Backtest Period: 19,Backtest Period: 20,Backtest Period: 21,Backtest Period: 22,Backtest Period: 23,Backtest Period: 24,Backtest Period: 25,Backtest Period: 26,Backtest Period: 27,Backtest Period: 28,Backtest Period: 29,Backtest Period: 30,Backtest Period: 31,Backtest Period: 32,Backtest Period: 33,Backtest Period: 34,Backtest Period: 35,Backtest Period: 36,Backtest Period: 37,Backtest Period: 38,Backtest Period: 39,Backtest Period: 40,Backtest Period: 41,Backtest Period: 42,Backtest Period: 43,Backtest Period: 44,Backtest Period: 45,Backtest Period: 46,Backtest Period: 47,Backtest Period: 48,Backtest Period: 49,Backtest Period: 50
0.005,0.00717839,0.00635111,0.00662838,-0.00107777,0.00498838,-0.000364051,0.011696,0.00836897,-0.00271495,0.00522188,0.00734621,0.00390861,0.00162695,-0.000541857,0.00356007,-0.00653916,-0.00124253,-0.00233919,-0.00103825,0.016566,-0.0177988,0.000107823,0.00321109,0.0047831,-0.00286092,0.000895167,0.00412888,0.00355927,0.00259791,0.00241032,0.00121931,0.00323979,-0.000383023,0.00127471,0.00576495,0.00230819,-8.15857e-05,0.0102575,0.0043257,-0.000278447,0.00373921,0.000591468,0.00348738,-0.00011917,-0.00337978,0.00939497,0.00628872,0.000175228,0.00139109,0.0106304
0.01,0.0100487,0.00967412,0.00368082,-0.00150575,0.0075038,0.00332646,0.0107332,0.0127404,-0.00528779,0.00457958,0.0111105,0.00250657,0.000200603,0.00298768,0.00924408,-0.0071836,-0.00081075,0.00113758,8.40411e-05,0.0144721,-0.0226944,-0.00280439,-0.00307445,0.00646219,-0.00172401,0.00373775,0.00368335,0.00297232,0.00400884,0.000387363,0.00346278,0.00286147,0.00294801,0.000227896,0.00656862,0.000750057,0.00162693,0.0156265,0.00844675,0.000243959,0.00573014,0.00542239,0.00287003,0.0031883,-0.00417905,0.010886,-0.00026363,-0.00229986,0.00634658,0.0167265
0.015,0.0139256,0.0120806,-0.00209817,-0.00195719,0.0100075,0.00698223,0.0142601,0.0164658,-0.00774617,0.00326888,0.0148642,0.00114373,-0.00121495,0.00654287,0.0150238,-0.00828284,-0.00808805,-0.00124471,0.00350417,0.0202319,-0.0247538,-0.00607312,-0.00939253,0.00850629,-0.000404417,0.0066147,0.00388388,-0.000460897,0.00548025,0.00210093,0.00572068,0.00262967,0.00698676,0.00107885,0.00717646,0.00215746,0.00126652,0.0167284,0.0124296,0.000675088,0.00773142,0.0101785,0.0023328,0.00560905,-0.00324926,0.0136729,-0.00219155,-0.00244731,0.0113202,0.023192
0.02,0.0160366,0.0148613,-0.00631736,-0.00539519,0.0125939,0.0106579,0.0179813,0.0201772,-0.00669062,0.00196853,0.0186256,-0.000207711,-0.00263698,0.0101108,0.0208778,-0.00984711,-0.00948418,0.000492522,0.00626609,0.0300687,-0.0272758,-0.00949533,-0.0157947,0.0105479,-0.00153611,0.0108311,0.00362866,-0.00140554,0.00592198,0.0010448,0.00799555,0.000755834,0.0105922,0.000697968,0.00775954,0.00130933,0.00254357,0.0207261,0.0165546,-0.00154064,0.00925936,0.0129855,0.00254159,0.00811442,-0.00237977,0.0164339,-0.00424404,-0.00270801,0.0162403,0.0296667
0.025,0.0190123,0.0176308,-0.0105808,-0.00707095,0.0131299,0.0127834,0.0217419,0.023858,-0.00891831,0.000673805,0.0223916,-0.00155371,-0.00406468,0.0136827,0.026757,-0.011068,-0.0109443,0.00217547,-0.00240445,0.0360935,-0.0295086,-0.0130505,-0.0235976,0.0127923,-0.00101436,0.0134363,0.00179378,-0.00235246,0.00478256,8.86309e-06,0.00487799,4.44905e-05,0.0142065,0.000323202,0.00830902,0.000513384,0.00383904,0.0247551,0.0200459,-0.00150843,0.0112361,0.0175028,0.00205098,0.0162397,-0.00154264,0.00190541,-0.00635723,-0.00138621,0.0180916,0.0304141
0.03,0.0313854,0.0236975,-0.0148673,-0.00874657,0.0149872,0.0162456,0.0174163,0.0275257,-0.0111223,-0.000617654,0.0257801,-0.00289675,-0.00549652,0.0172557,0.0326422,-0.0125186,-0.0152034,0.00957295,0.00110059,0.0421181,-0.031755,-0.0193723,-0.0321745,0.015114,-0.000497087,0.0160487,0.00137037,-0.00435443,0.00891677,0.00122656,0.006295,-0.000704437,0.018558,-4.61975e-05,0.00956116,-0.00609808,0.00517332,0.0294572,0.0235426,-0.00146179,0.0132114,0.0220211,0.00156072,0.0198843,-0.00583,0.002159,-0.0230817,-0.00213875,0.0218397,0.0343375
0.035,0.0363986,0.0272765,-0.0151931,-0.0103522,0.0168053,0.0172183,0.0194556,0.0311882,-0.0133147,-0.00986911,0.0295445,0.00556913,-0.00693131,0.020829,0.040404,-0.0139379,-0.0171057,0.012315,0.00068649,0.0481503,-0.0327834,-0.0235323,-0.0393547,0.0168779,-0.00136263,0.0186648,0.00031339,-0.00541057,0.0122672,0.000252833,0.011494,-0.00150815,0.0222502,-0.000411742,0.0102602,-0.00744392,0.00789582,0.0263676,0.0270501,-0.00384755,0.0151871,0.0265404,0.00107094,0.0235359,-0.00581122,0.00239327,-0.0362985,-0.00483255,0.0493296,0.038314
0.04,0.0399255,0.0257039,-0.0189199,-0.0136826,0.0186377,0.0204371,0.0241795,0.0352566,-0.0155006,-0.0124004,0.0333105,0.0114715,0.00100409,0.0244021,0.0434787,-0.0153385,-0.0190153,0.00659552,0.000291749,0.0541902,-0.0348254,-0.0276901,-0.0521984,0.0192017,-0.00103512,0.0220333,-0.00368364,-0.00646734,0.0137864,-0.000719141,0.0135015,-0.000847119,0.0259419,-0.0056431,0.0109645,-0.00945518,0.00955942,0.0298316,0.0315447,-0.0041204,0.0205652,0.031061,0.000580254,0.0280638,0.00184608,0.00261027,-0.030185,-0.00605143,0.0560899,0.0560355
0.045,0.0441454,0.0283917,-0.019188,-0.0155685,0.0206889,0.0236491,0.0268271,0.0392683,-0.0120364,-0.0149327,0.0370769,0.00605668,-0.000540223,0.0286024,0.046436,-0.0118988,-0.0209305,0.00827137,-0.0146622,0.0602366,-0.036865,-0.0350788,-0.0599593,0.0215246,-0.00495651,0.024621,-0.00479529,-0.0132988,0.0153035,-0.00169006,0.0155102,-0.00113025,0.0296324,-0.00648233,0.0183305,-0.0176927,0.0158062,0.0333246,0.0358052,-0.00439406,0.0230614,0.0337205,-0.000634156,0.0317812,0.00272487,-0.0047083,-0.0469122,-0.00726957,0.0628537,0.0619908
0.05,0.0487513,0.0310779,-0.0225747,-0.0174554,0.0227576,0.0268558,0.0294756,0.0433017,-0.013929,-0.0242323,0.0470838,0.0124873,-0.00125583,0.025159,0.0493264,-0.0128725,-0.0258499,0.0099439,-0.0169072,0.0669884,-0.0353285,-0.0396221,-0.0677217,0.0229007,-0.00858456,0.0282709,-0.00590904,-0.0215803,0.0138554,-0.00266029,0.01752,-0.00139659,0.032424,0.00327408,0.019756,-0.0201413,0.0179123,0.0368286,0.0400332,-0.00466816,0.025557,0.0379761,-0.00121105,0.0354964,0.00360648,-0.00515154,-0.0522101,-0.0084868,0.079363,0.0679539
0.055,0.0533872,0.0317097,-0.0259619,-0.019343,0.0248393,0.0300584,0.0321248,0.047342,-0.015823,-0.0274526,0.051366,0.0129868,-0.00197886,0.0278439,0.0521845,-0.0138454,-0.0281394,0.00640948,-0.0191483,0.0742979,-0.0367873,-0.0441628,-0.0797072,0.0252107,-0.00888775,0.030988,-0.00702413,-0.0239411,0.015016,0.00303394,0.014576,-0.00162248,0.0360272,0.00358966,0.0211816,-0.0225922,0.0200242,0.0403374,0.0423703,-0.00412751,0.0294827,0.0422317,-0.00178777,0.03921,0.00449013,-0.00559416,-0.0575042,-0.00304209,0.0871504,0.0739231
0.06,0.0580281,0.0341929,-0.0293494,-0.0183727,0.0269303,0.0200351,0.0347743,0.0497789,-0.0229455,-0.0306741,0.0556488,0.0134826,-0.00270797,0.0382012,0.0722313,-0.0148175,-0.0304274,0.00771038,-0.0231714,0.0816007,-0.038241,-0.0471976,-0.0878281,0.0204363,-0.00919114,0.0337048,-0.0081406,-0.0258849,0.0161771,0.00254864,0.0160353,-0.00167318,0.036835,0.00390739,0.0226061,-0.0250447,0.0221515,0.0285972,0.0463023,-0.00436347,0.0320959,0.0464875,-0.00236441,0.0429226,0.00537546,-0.00603627,-0.0627954,-0.00363988,0.0949371,0.0798968
0.065,0.0626707,0.0366762,-0.0327371,-0.0200104,0.0280611,0.022226,0.0380194,0.053474,-0.0196159,-0.0338967,0.0599312,0.0139758,-0.00344233,0.0413696,0.0793983,-0.0157895,-0.0327144,0.00901053,-0.0255737,0.0775097,-0.0334352,-0.0516634,-0.0959493,0.0221898,-0.00898133,0.0364215,-0.00926153,-0.0278307,0.0173372,0.00206206,0.0174935,-0.00379001,0.0402486,0.00638983,0.0225166,-0.0274984,0.0230337,0.0301737,0.0502449,-0.00459796,0.0347097,0.0507432,-0.00294096,0.0466342,0.0190951,-0.00682283,-0.0680844,-0.0042394,0.102723,0.0801118
0.07,0.0714729,0.0395122,-0.0355623,-0.0216482,0.029746,0.024417,0.0406816,0.0571591,-0.0215124,-0.0431009,0.0642138,0.014467,-0.00418072,0.0360676,0.0862364,-0.016761,-0.0329585,0.0058885,-0.027974,0.0839636,-0.026924,-0.0561292,-0.107217,0.0165458,-0.00932085,0.039138,-0.0190497,-0.0297778,0.0184974,0.00534858,0.0189508,-0.00432609,0.0436621,0.00692324,0.0238411,-0.0299528,0.0251372,0.0318038,0.0541951,-0.00483141,0.037324,0.0549991,-0.00351745,0.0357439,0.021011,-0.00734442,-0.083938,-0.00484024,0.110509,0.0856792
0.075,0.0728235,0.0420142,-0.0388708,-0.0232859,0.0314267,0.0266079,0.0433434,0.0517639,-0.0234087,-0.0466773,0.0904035,0.0136686,-0.00492249,0.0389106,0.0927963,-0.0205206,-0.0351026,0.00690071,-0.0522322,0.0904132,-0.010352,-0.0605949,-0.115558,0.010455,-0.00701508,0.0354097,-0.0207679,-0.0317262,0.0196572,0.00256813,0.0207158,-0.00475692,0.0470756,0.00745712,0.0251697,-0.0354262,0.0305064,0.0334825,0.0671632,-0.00276432,0.0399388,0.0592549,-0.00409389,0.0384622,0.0229272,-0.0078648,-0.0900863,-0.0054421,0.118294,0.0912422
0.08,0.0775329,0.0445179,-0.0478977,-0.0249237,0.0331035,0.0287988,0.0393062,0.0548574,-0.0319559,-0.0502536,0.0962959,0.0141974,-0.00566721,0.0418177,0.0991336,-0.0216585,-0.0372466,0.00791287,-0.0899096,0.0809688,0.0263831,-0.0650606,-0.123898,0.0112071,-0.00718303,0.0378991,-0.0224773,-0.045955,0.0158316,0.00227721,0.022124,-0.00518227,0.050489,0.00799139,0.0264699,-0.0380631,0.0328296,0.0345054,0.071734,-0.00289128,0.0470507,0.067609,-0.00672226,0.0411798,0.0248437,-0.00838418,-0.0962342,-0.00970951,0.126079,0.0968016
0.085,0.0822449,0.0470189,-0.0561181,-0.0231504,0.0420672,0.0309895,0.0416291,0.0579523,-0.0342112,-0.0538299,0.102187,0.0147273,0.00353239,0.0447908,0.085819,-0.0227965,-0.0393905,0.00892502,-0.0958176,0.0862966,0.0322631,-0.0700448,-0.13286,0.0120145,-0.00413165,0.0404231,-0.0241844,-0.0486077,0.0166994,0.00198578,0.0216301,-0.00560629,0.0539023,0.0182266,0.0278042,-0.0407003,0.035153,0.0365642,0.0763135,-0.00301794,0.0498915,0.0721253,0.000555972,0.043897,0.0267603,-0.00890273,-0.104435,-0.0105145,0.144373,0.102358
0.09,0.091604,0.0304734,-0.0601003,-0.0245683,0.0441895,0.0331802,0.0439512,0.0610487,-0.0422981,-0.0574061,0.108078,0.0237705,0.00321446,0.0478283,0.11128,-0.0239347,-0.0415343,0.00993684,-0.0635245,0.0916258,0.0351076,-0.0745714,-0.141273,0.00416084,-0.00745488,0.0429032,-0.029758,-0.0512609,0.0131899,0.00169409,0.0228572,-0.0060299,0.0573155,0.0194047,0.0362599,-0.0433377,0.0266427,0.0361551,0.0808844,-0.00314436,0.0527325,0.0766408,0.000239596,0.0466138,0.0286771,-0.00942059,-0.110727,-0.0113195,0.152787,0.107912
0.095,0.0965915,0.031913,-0.0640824,-0.0259861,0.0463145,0.0353708,0.0462725,0.0641467,-0.0450312,-0.0656312,0.113968,0.0247249,0.00289715,0.0509263,0.116932,-0.0250731,-0.0427832,0.0109489,-0.107634,0.0969541,0.0402219,-0.0790958,-0.156278,-0.0052668,-0.00403913,0.0454005,-0.0316857,-0.0726489,0.0138993,0.0014021,0.0240845,-0.0175893,0.0657692,0.0205827,0.0379873,-0.0460215,0.0234321,0.0377964,0.0854583,-0.00327057,0.0591004,0.0811559,-7.65844e-05,0.0493302,0.044255,0.00539559,-0.11702,-0.0121245,0.161201,0.113464
0.1,0.101579,0.0333527,-0.0680647,-0.0274037,0.0484401,0.0375614,0.0429397,0.0672464,-0.0508036,-0.0694509,0.142864,0.0256793,0.00258042,0.054079,0.122611,-0.0262115,-0.0448874,-0.00835931,-0.113541,0.102286,0.0489784,-0.0836216,-0.164973,-0.00550555,-0.00108409,0.0478997,-0.0335883,-0.0762339,0.0146048,0.0011098,0.0217509,-0.0184361,0.0694772,0.02176,0.0397148,-0.0486653,0.0300824,0.0492995,0.0900329,-0.00339662,0.0620938,0.0950643,-0.000392602,0.0520464,0.0469078,0.00563006,-0.123312,-0.0120715,0.192269,0.115559
