Target Returns,Backtest Period: 1,Backtest Period: 2,Backtest Period: 3,Backtest Period: 4,Backtest Period: 5,Backtest Period: 6,Backtest Period: 7,Backtest Period: 8,Backtest Period: 9,Backtest Period: 10,Backtest Period: 11,Backtest Period: 12,Backtest Period: 13,Backtest Period: 14,Backtest Period: 15,Backtest Period: 16,Backtest Period: 17,Backtest Period: 18,Backtest Period: 19,Backtest Period: 20,Backtest Period: 21,Backtest Period: 22,Backtest Period: 23,Backtest Period: 24,Backtest Period: 25,Backtest Period: 26,Backtest Period: 27,Backtest Period: 28,Backtest Period: 29,Backtest Period: 30,Backtest Period: 31,Backtest Period: 32,Backtest Period: 33,Backtest Period: 34,Backtest Period: 35,Backtest Period: 36,Backtest Period: 37,Backtest Period: 38,Backtest Period: 39,Backtest Period: 40,Backtest Period: 41,Backtest Period: 42,Backtest Period: 43,Backtest Period: 44,Backtest Period: 45,Backtest Period: 46,Backtest Period: 47,Backtest Period: 48,Backtest Period: 49,Backtest Period: 50
0.5,0.642038,0.694606,0.625808,-0.0485639,0.498838,-0.0364051,0.768028,0.883677,0.0519583,0.477491,0.70293,0.541424,0.412997,0.0843447,1.25717,-0.353669,-0.511167,-0.382003,0.291495,0.836303,-2.06952,0.153788,0.347078,0.404588,-0.326824,0.274047,0.375163,0.071326,0.23012,0.508065,-0.119066,0.274095,-0.0208019,0.188303,0.595639,0.401161,-0.193846,0.598524,0.579069,-0.133144,0.333845,-0.0590598,0.404738,0.181357,-0.609481,0.0863549,-0.232872,0.212007,0.426671,0.0143867
1,1.19227,0.970185,0.256191,-0.205845,0.701268,0.233405,0.914017,1.1737,-0.199803,0.255224,1.0776,0.503089,0.333336,0.443024,1.85054,-0.566411,-0.758191,-0.135884,0.116614,1.75676,-2.24083,-0.263542,-0.357469,0.510698,-0.290084,0.638761,0.30892,-0.547989,0.513168,0.521607,0.154035,0.210417,0.379805,-0.0677085,0.680232,0.11905,0.116363,0.939241,0.684157,-0.250852,0.549017,0.395076,0.353105,0.549202,-0.318609,-0.160621,-0.77008,0.147338,1.57146,0.0204229
1.5,1.67234,1.2226,-0.021259,-0.404385,0.88218,0.420733,1.11709,1.56048,-0.0998896,0.0170428,1.7104,0.857424,0.344709,0.807598,1.80838,-0.602374,-0.956144,-0.195588,-0.113578,2.09542,-2.51069,-0.694495,-1.34381,0.654246,-0.642467,0.920418,0.177364,-0.744546,0.557675,0.649841,0.350601,0.0714305,0.748186,-0.146317,0.98641,-0.314693,0.324006,1.25299,1.0271,-0.277297,0.803769,0.817986,0.283695,0.934803,-0.242094,-0.202985,-1.4868,-0.00229652,2.2374,0.026461
2,2.07905,1.43232,-0.230635,-0.526212,1.26736,0.749469,1.36919,1.94725,-0.272761,-0.495517,2.13924,0.924915,0.283693,0.855385,2.17367,-0.699239,-1.15203,-0.424299,-0.380387,2.39159,-2.76766,-1.14389,-2.29078,0.181435,-0.59766,0.809647,-0.17121,-1.04471,0.540412,0.620487,0.429223,0.0376929,0.951172,0.150057,1.06219,-0.552314,0.445782,1.19392,1.693,-0.223393,1.12868,1.24402,0.225592,1.31319,-0.160301,-0.194223,-2.02718,0.0953096,3.26116,0.0292224
2.5,2.57358,1.69884,-0.575918,-0.69059,1.43959,0.47109,1.65638,2.34308,-0.453837,-1.09095,3.14217,0.868374,0.220031,1.14325,3.51318,-0.918825,-1.36562,-0.323115,-1.46757,2.27446,-2.03562,-1.56593,-3.5299,0.263374,-0.427956,1.06005,-0.506219,-1.66984,0.628077,0.621525,0.651317,-0.0620695,1.29307,0.217776,1.19398,-0.911715,0.723803,1.34214,2.10465,-0.134718,1.5842,1.77318,0.174639,1.12123,0.380606,-0.252773,-2.90018,-0.0791005,4.34109,0.0350451
3,3.17729,1.3245,-1.23451,-0.753678,1.88933,0.689594,1.59356,2.38896,-0.92812,-1.60006,4.26771,1.23476,0.700052,1.42559,3.96969,-0.712061,-1.54453,-0.221675,-3.07758,2.77943,-0.938786,-1.95599,-4.38991,-0.23334,-0.428046,1.30157,-1.27081,-2.45764,0.466909,0.408414,0.813839,-0.523644,1.75051,0.524062,1.55306,-1.16699,0.596744,1.80058,2.36475,-0.154892,2.09736,2.23086,0.408035,1.3949,0.980597,0.241023,-3.52616,-0.162485,5.18244,0.0407954
3.5,3.67543,1.46707,-1.63148,-0.895965,2.09709,0.908368,1.64277,2.55211,-1.22841,-2.32266,5.10262,1.32922,0.697424,1.733,4.50632,-0.542422,-1.75462,-0.891977,-3.67019,3.18604,-0.714787,-2.43987,-5.6679,-0.278489,-0.374712,1.5547,-1.55298,-2.79286,0.588595,0.372332,0.864961,-0.583704,2.39721,0.811507,1.72586,-1.66312,0.57113,2.28582,2.8022,0.176905,2.40269,3.44967,0.375077,1.11557,1.2448,0.262891,-3.75696,-0.0978322,6.89104,0.0476381
4,4.1738,1.55639,-2.38227,-0.553026,2.30619,0.891795,1.36883,2.83357,-1.52103,-2.74954,5.80913,1.81924,0.580553,2.13494,5.02068,-0.598103,-1.69453,-0.88609,-7.58607,3.67354,-0.242999,-2.90106,-6.76471,-0.317942,-0.331985,1.79793,-1.92172,-3.73735,0.668013,0.24006,1.14557,-1.13942,2.8318,1.31376,2.52162,-1.95903,0.718965,2.48064,3.21572,0.640306,2.70832,5.27453,1.07704,0.998134,1.50934,1.22793,-4.31321,-0.232011,7.83324,0.0527244
4.5,5.33668,1.48936,-2.83171,-0.633396,2.92066,1.13294,1.52152,2.74939,-1.52531,-3.17136,6.55551,1.97469,0.543954,2.43952,6.35406,-0.0316221,-1.87957,-2.02212,-8.57917,4.03626,0.138349,-3.40918,-7.71774,-0.48072,-0.430459,2.02019,-2.35191,-4.15076,0.77662,0.181057,1.25563,-1.25704,3.3506,1.47439,2.78054,-2.25482,0.570356,3.74143,3.63991,0.713421,3.01417,5.94018,1.85564,1.15899,1.79848,1.36619,-4.86947,-0.297807,8.77483,0.0621945
5,5.91229,1.60693,-3.58316,-0.584498,4.84088,1.96744,1.00916,2.54881,-1.7854,-3.59331,7.26532,2.12909,0.508013,2.74271,6.51873,-0.0293519,-2.10272,-2.14728,-9.62164,4.54773,0.550314,-3.02825,-8.93241,-0.603767,-0.422279,2.27077,-2.65915,-4.56206,1.16609,0.0467137,1.55878,-1.37518,5.62248,2.55534,3.55079,-2.55053,-0.100292,4.03423,3.63065,0.88037,4.33747,6.61179,1.99001,1.32,2.06408,1.94138,-5.42581,-0.81748,9.71611,0.0628019
